id,budget,revenue
19995,237000000,2.788e+09
285,300000000,9.610e+08
206647,245000000,8.807e+08
49026,250000000,1.085e+09
49529,260000000,2.841e+08
559,258000000,8.909e+08
38757,260000000,5.918e+08
99861,280000000,1.405e+09
767,250000000,9.340e+08
209112,250000000,8.733e+08
1452,270000000,3.911e+08
10764,200000000,5.861e+08
58,200000000,1.066e+09
57201,255000000,8.929e+07
49521,225000000,6.628e+08
2454,225000000,4.197e+08
24428,220000000,1.520e+09
1865,380000000,1.046e+09
41154,225000000,6.240e+08
122917,250000000,9.560e+08
1930,215000000,7.522e+08
20662,200000000,3.107e+08
57158,250000000,9.584e+08
2268,180000000,3.722e+08
254,207000000,5.500e+08
597,200000000,1.845e+09
271110,250000000,1.153e+09
44833,209000000,3.030e+08
135397,150000000,1.514e+09
37724,200000000,1.109e+09
558,200000000,7.838e+08
68721,200000000,1.215e+09
12155,200000000,1.025e+09
36668,210000000,4.594e+08
62211,200000000,7.436e+08
8373,150000000,8.363e+08
91314,210000000,1.091e+09
68728,200000000,4.919e+08
102382,200000000,7.057e+08
20526,170000000,4.001e+08
49013,200000000,5.599e+08
44912,200000000,2.199e+08
10193,200000000,1.067e+09
534,200000000,3.714e+08
168259,190000000,1.506e+09
72190,200000000,5.319e+08
127585,250000000,7.479e+08
54138,190000000,4.674e+08
81005,195000000,1.977e+08
64682,105000000,3.510e+08
9543,150000000,3.352e+08
68726,180000000,4.076e+08
38356,195000000,1.124e+09
217,185000000,7.866e+08
105864,175000000,3.319e+08
62177,185000000,5.390e+08
188927,185000000,3.435e+08
10681,180000000,5.213e+08
5174,140000000,2.580e+08
14161,200000000,7.697e+08
17979,200000000,3.252e+08
76757,176000003,1.840e+08
258489,180000000,3.567e+08
411,180000000,7.488e+08
246655,178000000,5.439e+08
155,185000000,1.005e+09
14160,175000000,7.351e+08
15512,175000000,3.815e+08
1726,140000000,5.852e+08
44826,170000000,1.858e+08
8487,170000000,2.221e+08
1735,145000000,4.011e+08
297761,175000000,7.450e+08
2698,175000000,1.730e+08
137113,178000000,3.705e+08
9804,175000000,2.642e+08
14869,175000000,3.025e+08
150540,175000000,8.576e+08
278927,175000000,9.666e+08
10138,200000000,6.239e+08
58595,170000000,3.966e+08
102651,180000000,7.585e+08
119450,170000000,7.106e+08
64686,175000000,1.510e+08
100402,170000000,7.148e+08
10192,165000000,7.526e+08
158852,190000000,2.092e+08
177572,165000000,6.521e+08
82690,165000000,4.712e+08
5255,165000000,3.059e+08
47933,165000000,3.897e+08
10191,165000000,4.949e+08
296,200000000,4.350e+08
118340,170000000,7.733e+08
157336,165000000,6.751e+08
27205,160000000,8.255e+08
315011,15000000,7.700e+07
49051,250000000,1.021e+09
9799,38000000,2.073e+08
4922,150000000,3.339e+08
49538,160000000,3.536e+08
131634,160000000,6.534e+08
27022,150000000,2.153e+08
503,160000000,1.817e+08
241259,170000000,2.994e+08
810,160000000,7.990e+08
68735,160000000,4.337e+08
87101,155000000,4.406e+08
10140,155000000,4.157e+08
676,140000000,4.492e+08
1858,150000000,7.097e+08
1966,155000000,1.673e+08
675,150000000,9.382e+08
674,150000000,8.959e+08
8960,150000000,6.240e+08
6479,150000000,5.853e+08
118,150000000,4.750e+08
2062,150000000,6.237e+08
272,150000000,3.742e+08
10527,150000000,6.039e+08
18360,150000000,4.131e+08
2080,150000000,3.731e+08
605,150000000,4.250e+08
109445,150000000,1.274e+09
604,150000000,7.386e+08
76338,170000000,6.446e+08
76341,150000000,3.789e+08
13448,150000000,3.566e+08
10195,150000000,4.493e+08
13053,150000000,3.100e+08
19585,150000000,2.928e+08
57165,150000000,3.010e+08
62213,150000000,2.455e+08
177677,150000000,6.823e+08
5559,150000000,2.876e+08
49444,150000000,6.657e+08
10196,150000000,3.185e+08
956,150000000,3.979e+08
117251,150000000,2.054e+08
50321,150000000,3.899e+07
11619,149000000,6.446e+07
266647,150000000,1.284e+08
82703,145000000,2.729e+08
652,175000000,4.974e+08
80321,145000000,7.469e+08
36669,140000000,4.320e+08
43074,144000000,2.291e+08
95,140000000,5.538e+08
608,140000000,4.418e+08
2310,70000000,1.957e+08
140300,145000000,5.212e+08
56292,145000000,6.947e+08
81188,145000000,3.069e+08
7552,100000000,2.020e+08
616,140000000,4.568e+08
147441,140000000,2.680e+08
13475,150000000,3.857e+08
557,139000000,8.217e+08
82702,145000000,6.091e+08
205584,140000000,1.507e+08
10048,135000000,7.693e+07
13183,130000000,1.853e+08
944,140000000,2.854e+08
1927,137000000,2.454e+08
72559,130000000,3.719e+08
7364,130000000,1.193e+08
2114,137000000,8.513e+07
1771,140000000,3.706e+08
36643,135000000,3.618e+08
8619,150000000,2.120e+08
50620,120000000,8.290e+08
65759,130000000,1.504e+08
1724,150000000,1.637e+08
267935,140000000,1.833e+08
281957,135000000,5.330e+08
77950,135000000,2.826e+08
44896,135000000,2.457e+08
270946,132000000,3.736e+08
2503,70000000,4.428e+08
9502,130000000,6.317e+08
102899,130000000,5.193e+08
101299,130000000,8.474e+08
228161,135000000,3.689e+08
74,132000000,5.917e+08
8961,130000000,2.733e+08
417859,130000000,5.550e+08
27576,110000000,2.933e+08
86834,125000000,3.626e+08
17578,130000000,3.719e+08
673,130000000,7.898e+08
6972,130000000,4.955e+07
82700,130000000,2.438e+08
10567,127500000,3.542e+08
181533,127000000,3.494e+08
38055,130000000,3.219e+08
671,125000000,9.765e+08
49524,130000000,6.165e+07
22,140000000,6.550e+08
131631,125000000,7.521e+08
591,125000000,7.678e+08
172385,103000000,5.002e+08
36658,110000000,4.077e+08
51497,125000000,6.261e+08
58574,125000000,3.346e+08
18823,125000000,2.327e+08
861,65000000,2.613e+08
1911,160000000,6.170e+07
49040,130000000,2.766e+08
415,125000000,2.382e+08
8871,123000000,3.451e+08
435,125000000,5.443e+08
955,125000000,5.464e+08
2133,120000000,3.258e+08
1979,130000000,2.890e+08
87827,120000000,6.090e+08
1250,110000000,2.287e+08
324668,120000000,4.155e+08
