id,title,popularity,release_date
257,Oliver Twist,2.042e+01,2005-09-23
14290,Better Luck Tomorrow,3.877e+00,2002-01-12
38365,Grown Ups,3.886e+01,2010-06-24
9672,Infamous,3.681e+00,2006-11-16
12819,Alpha and Omega,1.230e+01,2010-09-17
49529,John Carter,4.393e+01,2012-03-07
75638,Red Lights,2.275e+01,2012-03-02
13785,Best in Show,1.098e+01,2000-09-19
20024,The End of the Affair,6.921e+00,1999-12-03
18841,The Lost Skeleton of Cadavra,1.681e+00,2001-09-12
76757,Jupiter Ascending,8.537e+01,2015-02-04
158752,Escape from Tomorrow,1.352e+00,2013-10-11
10956,Joe Dirt,1.598e+01,2001-04-10
2757,Adaptation.,2.644e+01,2002-12-06
308531,Teenage Mutant Ninja Turtles: Out of the Shadows,3.987e+01,2016-06-01
16186,Diary of a Mad Black Woman,3.785e+00,2005-02-25
2610,Shopgirl,4.820e+00,2005-10-21
13074,Resurrecting the Champ,4.898e+00,2007-06-14
26672,The Thief and the Cobbler,2.439e+00,1993-09-23
21334,Children of Heaven,7.072e+00,1997-08-01
15301,Twilight Zone: The Movie,1.290e+01,1983-06-24
59,A History of Violence,3.463e+01,2005-09-23
10586,The Ghost and the Darkness,1.247e+01,1996-10-11
55180,The Last Big Thing,6.785e-01,1998-09-23
157058,30 Nights of Paranormal Activity With the Devi...,1.737e+00,2013-01-14
24100,The Little Vampire,4.365e+00,2000-10-27
9793,The Hills Have Eyes 2,1.714e+01,2007-03-22
10735,What a Girl Wants,7.058e+00,2003-03-27
9353,Nacho Libre,1.464e+01,2006-06-16
8452,The 6th Day,1.845e+01,2000-11-17
19995,Avatar,1.504e+02,2009-12-10
85350,Boyhood,4.340e+01,2014-06-05
27205,Inception,1.676e+02,2010-07-14
9437,Kiss the Girls,1.891e+01,1997-10-03
244339,Out of Inferno,1.584e+00,2013-03-10
112937,The Oogieloves in the Big Balloon Adventure,2.858e-01,2012-08-29
10280,Thinner,7.867e+00,1996-10-25
8970,The Out-of-Towners,4.843e+00,1999-04-02
72359,Peeples,5.113e+00,2013-05-09
11022,Narc,8.527e+00,2002-01-14
18923,A Home at the End of the World,5.484e+00,2004-07-23
1921,Sweet November,1.937e+01,2001-02-16
9665,Glory,1.610e+01,1989-12-15
284536,The Gambler,2.262e+01,2014-12-25
1491,The Illusionist,3.696e+01,2006-08-18
9776,Head of State,3.457e+00,2003-01-01
13982,8 Heads in a Duffel Bag,5.017e+00,1997-04-18
139038,A Haunted House,1.866e+01,2013-01-11
10691,Crazy/Beautiful,6.130e+00,2001-06-29
17813,Alex & Emma,4.352e+00,2003-06-16
6435,Practical Magic,1.514e+01,1998-10-16
4421,G.I. Jane,1.943e+01,1997-08-22
1792,Stuck on You,8.803e+00,2003-12-10
80035,The Watch,3.940e+01,2012-07-26
12783,The Duchess,1.859e+01,2008-09-05
154,Star Trek II: The Wrath of Khan,2.243e+01,1982-06-03
172391,Khumba,6.460e+00,2013-07-18
6116,Spice World,6.889e+00,1997-12-19
13680,The Game Plan,2.070e+01,2007-09-28
1125,Dreamgirls,1.449e+01,2006-12-25
2752,40 Days and 40 Nights,1.418e+01,2002-03-01
11637,Are We There Yet?,1.359e+01,2005-01-20
80585,Rock of Ages,2.352e+01,2012-06-13
13889,Madadayo,2.931e+00,1993-04-17
16899,Easy Virtue,8.388e+00,2008-01-01
7510,Running with Scissors,4.770e+00,2006-10-27
51955,Hav Plenty,3.142e-03,1997-09-11
68727,Trance,3.880e+01,2013-03-27
9621,Elizabethtown,2.289e+01,2005-10-06
17186,Supercross,3.713e+00,2005-08-16
26618,Clay Pigeons,4.221e+00,1998-09-25
225565,That Awkward Moment,3.782e+01,2014-01-29
208134,Bad Grandpa,2.717e+01,2013-10-22
288927,Archaeology of a Woman,2.547e-01,2014-09-12
77951,Walking With Dinosaurs,1.009e+01,2013-12-18
12509,Pollock,8.484e+00,2000-09-06
31640,Blood and Wine,1.492e+00,1996-10-03
49026,The Dark Knight Rises,1.123e+02,2012-07-16
4584,Sense and Sensibility,2.090e+01,1995-12-13
377,A Nightmare on Elm Street,3.820e+01,1984-11-14
303858,Money Monster,3.828e+01,2016-05-12
200,Star Trek: Insurrection,1.971e+01,1998-12-10
10202,Bedtime Stories,2.353e+01,2008-12-24
302579,Naturally Native,5.788e-01,1999-10-08
8536,Superman II,3.052e+01,1980-12-04
577,To Die For,1.231e+01,1995-05-20
34653,A Single Man,2.163e+01,2009-10-19
